md5,title,author
ea554295729bfb76206947f7f6cb968e,Police Exam Prep 7th Edition: 4 Practice Tests + Proven Strategies,Kaplan Test Prep
c0eb130ea44e897494638465e046b97f,Gould's Pathophysiology for the Health Professions. Seventh Edition,"Karin C. VanMeter, Robert J. Hubert"
9d9eb9606e255f7f0b8cc1c29983a3f7,"Patent Searching Made Easy: How to do Patent Searches Online and in the Library, 8th Edition",David Hitchcock
362ac659656dc6d6b35cad51cbb12538,"Japanese for Busy People Book 1: Romanized, Revised 4th Edition",AJALT
5118390061315809eb6ae2a0760fdae2,Relocating to New York City and Surrounding Areas: Revised and Updated 2nd Edition,Ellen R. Shapiro
f79c61b8503d5775eac11049c544b31d,"Ultimate Guide: Barns, Sheds & Outbuildings, (Updated Fourth Edition) Step-by-Step Building and Design Instructions Plus Plans to Build More Than 100 Outbuildings",Editors of Creative Homeowner
bb6f543c6e312f7b756c5efab3aff8cf,"E.E. Cummings: Complete Poems 1904-1962 (Revised, Corrected, and Expanded Edition)",E. E. Cummings
a996d56ca0460eea461dad81077be587,"Beating the Dow Completely Revised and Updated: A High-Return, Low-Risk Method for Investing in the Dow Jones Industrial Stocks with as Little as $5,000",Michael B. O'Higgins; John Downes
faf99ab4afd98b398da053a0e6510ad6,Japanese for Busy People Book 1: The Workbook: Revised 4th Edition,AJALT
ea554295729bfb76206947f7f6cb968e,"Police Exam Prep: 4 Practice Tests + Proven Strategies (Kaplan Test Prep), 7th Edition",Kaplan Test Prep
e0d9f39ab73558f5694c96e123cd4211,"Harrison's Principles of Internal Medicine Self-Assessment and Board Review, 20th Edition",Charles Wiener; Anthony S. Fauci; Stephen L. Hauser; Dan L. Longo; J. Larry Jameson; Dennis L. Kasper; Joseph Loscalzo
b20302de9b133caa880d43548832da73,"Harrison's Principles of Internal Medicine Self-Assessment and Board Review, 20th Edition","Joseph Loscalzo, Dennis L. Kasper, Charles Wiener, Anthony S. Fauci, Stephen L. Hauser, Dan L. Longo, J. Larry Jameson"
daa679600128175529c2ace8ae8d9782,Marketing (MindTap Course List) 20th Edition,"William M. Pride, O. C. Ferrell"
9399ee3d4dd0145ea1293b04822bf422,Reason in Law: Ninth Edition,Lief H. Carter & Thomas F. Burke
35e7d14d44029d59be1c83026bab216e,Heavy Weather Sailing 7th edition,Peter Bruce
1682823e8ca3b414acca2db682998e76,C# 11 and .NET 7 â€“ Modern Cross-Platform Development Fundamentals - Seventh Edition (Early Access),Mark J. Price
267c325c578dabf60b4fd183ba441dc7,"Origins: Fourteen Billion Years of Cosmic Evolution, Revised & Updated Edition","Neil deGrasse Tyson, Donald Goldsmith"
d2f29af8003e808cfc044e469ed73912,"Java in a Nutshell, 8th Edition (Third Early Release)","Benjamin J. Evans, David Flanagan"
f56d2de4c062664fd837e0b2f13efe93,ENTERTAINMENT WEEKLY The Ultimate Guide to Star Wars Updated & Revised: Inside The Last Jedi,The Editors of Entertainment Weekly
72bdcb6a3571b323cf98e54971da8fa7,"Operations and Supply Chain Management: The Core, 6th Edition","F. Robert Jacobs, Richard B. Chase"
dfc6e2e6c577ed3dcb734716839c3931,"Hot Metal: A Complete Guide to the Metal Casting of Sculpture, 6th Edition",Wayne Potratz
